"","modelName","subject_Id","protein_Id","contrast","sigma","df","diff","FDR","std.error","statistic","p.value","conf.low","conf.high","avgAbd",".group"
"1","WaldTest","CON__ENSEMBL:ENSBTAP00000007350","CON__ENSEMBL:ENSBTAP00000007350","BAPvsDMSO",1.42087178004112,10,-1.41547189934201,0.570130571329731,0.820340704690682,-1.72546832218417,0.115153310183201,-3.24330489532912,0.412361096645097,21.1367875930844,1
"2","WaldTest","CON__ENSEMBL:ENSBTAP00000024146","CON__ENSEMBL:ENSBTAP00000024146","BAPvsDMSO",0.684078355455777,10,-0.975228061998272,0.440709572407222,0.394952822669189,-2.46922671778224,0.0331487187076448,-1.85523779088914,-0.0952183331074062,26.7507401506593,1
"3","WaldTest","CON__ENSEMBL:ENSBTAP00000032840","CON__ENSEMBL:ENSBTAP00000032840","BAPvsDMSO",0.852744525593355,10,0.602636437359129,0.702444346285071,0.492332281401303,1.22404412654777,0.248991363854286,-0.494348246918154,1.69962112163641,22.2789097828976,1
"4","WaldTest","CON__ENSEMBL:ENSBTAP00000038253","CON__ENSEMBL:ENSBTAP00000038253","BAPvsDMSO",2.09777263344228,7,-0.407122803215383,0.949197860707062,1.40722866291471,-0.289308208356227,0.780726436317356,-3.73468982707998,2.92044422064922,22.4671396978975,1
"5","WaldTest","CON__ENSEMBL:ENSBTAP00000038329","CON__ENSEMBL:ENSBTAP00000038329","BAPvsDMSO",1.25275156230975,10,-0.945477316716469,0.677494310565557,0.723276451727258,-1.30721429469821,0.220397732557309,-2.55703767953675,0.66608304610381,23.0903756420769,1
"6","WaldTest","CON__P00761","CON__P00761","BAPvsDMSO",0.358120496951264,10,-0.0423656719600146,0.961958618026044,0.206760965317135,-0.204901693581441,0.841759471450258,-0.503057811857309,0.41832646793728,34.3178530636651,1
"7","WaldTest","CON__P00978","CON__P00978","BAPvsDMSO",1.24920689144788,10,-1.50977951619257,0.501020940358852,0.721229935050969,-2.09334006094169,0.062775859944679,-3.11677995569517,0.0972209233100365,22.1958209835444,1
"8","WaldTest","CON__P01044-1","CON__P01044-1","BAPvsDMSO",1.12147172948226,5,-1.10755967618965,0.730938801966902,0.938290566945846,-1.18040158902458,0.290931326235259,-3.51951236412954,1.30439301175024,21.6017825639428,1
"9","WaldTest","CON__P01966","CON__P01966","BAPvsDMSO",0.652907486086006,10,-0.345104141580177,0.78969326101574,0.376956312847677,-0.915501690297009,0.381474777450208,-1.18501514773758,0.494806864577226,28.5795510404395,1
"10","WaldTest","CON__P02769","CON__P02769","BAPvsDMSO",0.446052673419322,10,-0.68576843252573,0.402376878958113,0.257528631071398,-2.66288229651485,0.0237813364255827,-1.25957798091475,-0.111958884136708,32.5435914221681,1
