LFQ intensity BAP1	LFQ intensity BAP2	LFQ intensity BAP3	LFQ intensity BAP4	LFQ intensity BAP5	LFQ intensity BAP6	LFQ intensity DMSO1	LFQ intensity DMSO2	LFQ intensity DMSO3	LFQ intensity DMSO4	LFQ intensity DMSO5	LFQ intensity DMSO6	Only identified by site	Reverse	Potential contaminant	Student's T-test Significant BAP_DMSO	Student's T-test significant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	-Log Student's T-test p-value BAP_DMSO	Student's T-test q-value BAP_DMSO	Student's T-test Difference BAP_DMSO	Student's T-test Test statistic BAP_DMSO	Protein IDs	Majority protein IDs	id
#!{Type}E	E	E	E	E	E	E	E	E	E	E	E	C	C	C	C	C	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	T	T	T
#!{C:Group1}BAP	BAP	BAP	BAP	BAP	BAP	DMSO	DMSO	DMSO	DMSO	DMSO	DMSO																							
22.4853115081787	21.8378067016602	22.2715663909912	21.1888542175293	21.3934192657471	20.4467487335205	21.6496982574463	20.9265480041504	22.8431034088135	22.3726348876953	27.0692768096924	20.9071445465088						1	1	1	2	2	2	45.672	0.0043309	2.3075	994290000	16	NaN	NaN	0	NaN	sp|Q9UIA0|CYH4_HUMAN;REV__sp|P82094|TMF1_HUMAN	sp|Q9UIA0|CYH4_HUMAN;REV__sp|P82094|TMF1_HUMAN	73
26.6615295410156	26.692455291748	26.6239395141602	26.4214000701904	26.7992172241211	26.4599514007568	26.1599063873291	26.6551265716553	26.7257251739502	26.8403816223145	26.7645854949951	27.1052951812744						5	5	5	25.4	25.4	25.4	28.17	0	37.695	1224800000	82	0.304678142016512	0.971329776721775	-0.0987545649210624	-0.706821119478777	sp|P0DPI2|GAL3A_HUMAN;sp|A0A0B4J2D5|GAL3B_HUMAN	sp|P0DPI2|GAL3A_HUMAN;sp|A0A0B4J2D5|GAL3B_HUMAN	112
21.5251121520996	22.1626529693604	22.4450054168701	21.9085426330566	23.2685546875	22.1556358337402	21.8054275512695	22.4728107452393	22.3120956420898	22.1035976409912	21.1654834747314	20.9713287353516						12	1	1	59.3	16.4	16.4	29.173	0.0027366	3.0553	4179400	1	NaN	NaN	0	NaN	sp|A0A2R8Y4L2|RA1L3_HUMAN	sp|A0A2R8Y4L2|RA1L3_HUMAN	113
21.434118270874	22.6140880584717	22.2480869293213	21.9459953308105	22.2478885650635	22.1214256286621	22.1523628234863	21.7587776184082	21.9263076782227	21.6962623596191	20.686882019043	22.0982837677002						5	4	4	11.8	9.9	9.9	64.098	0	10.483	30327000	13	0.720823019617762	0.946285508971866	0.382121086120605	1.40545272044835	sp|A0AV96|RBM47_HUMAN	sp|A0AV96|RBM47_HUMAN	114
26.9630069732666	27.1101837158203	27.192346572876	27.1444301605225	27.137508392334	27.1161460876465	27.1499614715576	27.1338882446289	26.9549350738525	27.0469760894775	27.0277042388916	27.0847663879395						34	34	34	44.7	44.7	44.7	117.97	0	118.09	1642900000	235	0.478495265994531	0.959289079381159	0.0442317326863595	1.01887175157214	sp|A0AVT1|UBA6_HUMAN	sp|A0AVT1|UBA6_HUMAN	115
21.8701686859131	21.6606845855713	22.3568019866943	21.5722026824951	23.8913516998291	22.3061351776123	20.8564834594727	22.5671558380127	21.7813587188721	20.8204364776611	19.2508697509766	20.3290405273438						3	3	3	4.2	4.2	4.2	102.36	0.0025316	3.1934	15145000	1	NaN	NaN	0	NaN	sp|A0FGR8|ESYT2_HUMAN	sp|A0FGR8|ESYT2_HUMAN	116
27.1268177032471	27.3302268981934	27.5596122741699	27.3181209564209	27.3574981689453	27.2707958221436	26.4889335632324	27.8187274932861	27.4357128143311	27.5715236663818	27.4270248413086	26.9465923309326						25	25	25	46.9	46.9	46.9	71.639	0	97.469	1871000000	160	0.0821974399601144	0.990014618679646	0.0457595189412459	0.223605887663599	sp|A0MZ66|SHOT1_HUMAN	sp|A0MZ66|SHOT1_HUMAN	117
22.8561172485352	21.0707225799561	22.1161518096924	23.144006729126	21.6644058227539	22.6794700622559	20.5177345275879	21.6967582702637	21.2231121063232	20.744909286499	22.0152530670166	21.8217430114746						1	1	1	5	5	5	22.049	0.0073653	1.9056	22512000	3	NaN	NaN	0	NaN	sp|A0PJW6|TM223_HUMAN	sp|A0PJW6|TM223_HUMAN	118
