"","modelName","subject_Id","protein_Id","contrast","diff","std.error","avgAbd","statistic","df","p.value","conf.low","conf.high","sigma","FDR"
"1","WaldTest_moderated","CON__A2A4G1","CON__A2A4G1","ups1 - ups2",0.713222796860689,0.468073021485887,24.1897986023004,1.72326627305694,8.02498141309692,0.123016567833196,-0.63577932570077,2.06222491942215,0.58531253590009,0.550709630955345
"2","WaldTest_moderated","CON__ENSEMBL:ENSBTAP00000024146","CON__ENSEMBL:ENSBTAP00000024146","ups1 - ups2",-2.84396408987614,0.318471179415535,27.6288312995224,-9.85264221522011,8.02498141309692,9.27610573338633e-06,-3.78479418523891,-1.90313399451337,0.40821258896338,0.000593397940297508
"3","WaldTest_moderated","CON__ENSEMBL:ENSBTAP00000038253","CON__ENSEMBL:ENSBTAP00000038253","ups1 - ups2",-0.069979000703575,0.263819113125255,26.9323444171572,-0.28682440069773,8.02498141309692,0.781512995497495,-0.865206604509302,0.725248603102152,0.345037770969168,0.924301666779255
"4","WaldTest_moderated","CON__P00761","CON__P00761","ups1 - ups2",-0.169975467624615,0.152867439265263,32.7605331240202,-1.07589284802048,8.02498141309692,0.313254064653692,-0.684915942561151,0.344965007311922,0.22342523423937,0.637297317940003
"5","WaldTest_moderated","CON__P01966","CON__P01966","ups1 - ups2",-2.90736253363351,0.987823962237061,25.5471111440783,-3.38648207037074,8.02498141309692,0.00950576228829878,-5.70563638410433,-0.109088683162683,1.21413060525957,0.299638159087679
"6","WaldTest_moderated","CON__P02533","CON__P02533","ups1 - ups2",-1.41867461636596,0.929659562177669,26.2690545687,-1.75470261600421,8.02498141309692,0.117272652963004,-4.05390797692517,1.21655874419324,1.14338969165496,0.550709630955345
"7","WaldTest_moderated","CON__P02538","CON__P02538","ups1 - ups2",-1.76520491738831,1.06579367107631,27.2426043924218,-1.90705104351607,8.02498141309692,0.0928386148600349,-4.7821862037901,1.25177636901347,1.30902460268479,0.547342648295791
"8","WaldTest_moderated","CON__P02769","CON__P02769","ups1 - ups2",-1.52500520659791,0.42366867953298,27.7800415113151,-4.05136933500491,8.02498141309692,0.0036533740162312,-2.75190556971852,-0.298104843477294,0.532334346124909,0.144474336096416
"9","WaldTest_moderated","CON__P04264","CON__P04264","ups1 - ups2",0.224731096622625,0.192699334545865,30.5894734749952,1.19695879517093,8.02498141309692,0.265482974708824,-0.387229946054085,0.836692139299336,0.265521057210086,0.617508881946405
"10","WaldTest_moderated","CON__P13645","CON__P13645","ups1 - ups2",1.32831755350853,0.176474775558169,28.736509904337,7.57218091827102,8.02498141309692,6.36560108463434e-05,0.756548382416266,1.90008672460079,0.248082384663749,0.00355004675873838
